,DS,BS,MODEL,TRAIN_SPE,VALID_SPE
0,MNIST,64,ResNet-56,0.0009707780554890633,0.00027146609500050545
1,CIFAR10,32,VGG16,0.0013905847445130348,0.00036758510395884514
2,MNIST,512,VGG11,0.00032709119841456413,7.421895861625671e-05
3,CIFAR10,256,DATA PROCESSING,0.0008538630791008472,0.00016406038776040077
4,MNIST,128,WRN16-4,0.0005771401338279247,0.0001546759158372879
5,MNIST,128,ResNet-56,0.0005732807330787182,0.00014257431030273438
6,MNIST,64,DATA PROCESSING,0.0002695308066904545,8.203322067856789e-05
7,MNIST,512,VGG16,0.0004043509252369404,9.567569941282272e-05
8,CIFAR10,512,VGG16,0.0009570363909006119,0.00021094223484396935
9,CIFAR10,64,ResNet-56,0.0014460338279604912,0.00035346345975995064
10,CIFAR10,1024,WRN16-4,0.000780340051278472,0.000174845103174448
11,CIFAR10,64,VGG11,0.0010156226344406605,0.00023837434127926826
12,MNIST,32,VGG16,0.0009077955037355423,0.0002775751054286957
13,MNIST,1024,VGG11,0.00021191593259572983,4.9825990572571754e-05
14,MNIST,32,VGG11,0.0007129888981580734,0.00020702416077256203
15,MNIST,256,ResNet-56,0.0005421028472483158,0.00011922186240553856
16,MNIST,256,DATA PROCESSING,0.00024802424013614655,5.6607648730278015e-05
17,MNIST,256,VGG16,0.00044735800474882126,0.00010742293670773506
18,MNIST,64,VGG11,0.0004961867816746235,0.00013866880908608437
19,CIFAR10,128,VGG16,0.0010314877144992352,0.00023835990577936172
20,CIFAR10,256,VGG16,0.0010426780208945274,0.0002343752421438694
21,CIFAR10,512,ResNet-56,0.001033205073326826,0.0002207113429903984
22,MNIST,512,DATA PROCESSING,0.0002460074611008167,5.087442696094513e-05
23,CIFAR10,32,DATA PROCESSING,0.0008759931661188602,0.00020908331498503685
24,MNIST,256,VGG11,0.0003944551572203636,9.375112131237984e-05
25,MNIST,128,DATA PROCESSING,0.0002597668208181858,6.250059232115746e-05
26,MNIST,128,VGG11,0.0004003942012786865,9.776698425412178e-05
27,CIFAR10,1024,DATA PROCESSING,0.000387741019949317,7.524085231125355e-05
28,CIFAR10,32,VGG11,0.0012618238106369972,0.00041314447298645973
29,MNIST,32,DATA PROCESSING,0.0003125043585896492,0.00011718645691871643
30,CIFAR10,1024,VGG16,0.0005968476179987192,0.000135709997266531
31,CIFAR10,64,VGG16,0.001215535681694746,0.0002851579338312149
32,CIFAR10,64,WRN16-4,0.001279299147427082,0.0003007836639881134
33,MNIST,32,ResNet-56,0.0016329423524439335,0.0004804651252925396
34,MNIST,1024,VGG16,0.00029687071219086647,7.324386388063431e-05
35,CIFAR10,128,DATA PROCESSING,0.0007499968633055687,0.0001582009717822075
36,CIFAR10,1024,VGG11,0.0004953481256961823,0.00010363268665969372
37,MNIST,512,WRN16-4,0.0005839429795742035,0.00013476703315973282
38,MNIST,64,WRN16-4,0.0006484384648501873,0.00019140494987368584
39,CIFAR10,32,WRN16-4,0.0012460392899811268,0.00034765806049108505
40,MNIST,32,WRN16-4,0.0007656225934624672,0.0002813437022268772
41,MNIST,128,VGG16,0.0005220039747655392,0.00013295235112309456
42,CIFAR10,256,ResNet-56,0.0011797691695392132,0.0002304702065885067
43,MNIST,64,VGG16,0.0006502890028059483,0.00016793794929981232
44,CIFAR10,512,DATA PROCESSING,0.0007549608126282692,0.00015625311061739922
45,CIFAR10,32,ResNet-56,0.0020301034674048424,0.0005683572962880135
46,CIFAR10,1024,ResNet-56,0.000758815323933959,0.00014942698180675507
47,CIFAR10,128,WRN16-4,0.0011055618524551392,0.0002616629935801029
48,CIFAR10,512,WRN16-4,0.0011035483330488205,0.00023446790874004364
49,CIFAR10,64,DATA PROCESSING,0.0007677003741264343,0.00017779693007469177
50,CIFAR10,128,ResNet-56,0.001169051043689251,0.0002500005066394806
51,MNIST,1024,WRN16-4,0.0004355013370513916,0.0001044892705976963
52,CIFAR10,128,VGG11,0.0009259502403438091,0.00019723130390048027
53,CIFAR10,256,VGG11,0.0009336848743259907,0.0001858375035226345
54,MNIST,1024,ResNet-56,0.00038275099359452724,8.492730557918549e-05
55,CIFAR10,512,VGG11,0.0008554481901228428,0.0001819389872252941
56,CIFAR10,256,WRN16-4,0.0011350372806191444,0.0002421909011900425
57,MNIST,256,WRN16-4,0.0005605448968708515,0.00013476423919200897
58,MNIST,1024,DATA PROCESSING,0.00012597511522471905,2.4414854124188423e-05
59,MNIST,512,ResNet-56,0.0005214582197368145,0.00011532846838235855
